data_name,mask_id,mask,pos_mask_ids
HG_BraTS20_Training_001,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_003,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_006,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_018,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_019,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_025,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_043,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_044,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_045,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_047,11,"[True, False, True, True]","[0, 2, 3, 6, 7, 8, 11]"
HG_BraTS20_Training_055,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_060,6,"[True, False, True, False]","[2, 3, 6]"
HG_BraTS20_Training_064,10,"[True, True, True, False]","[1, 2, 3, 5, 6, 9, 10]"
HG_BraTS20_Training_071,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_079,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_080,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_085,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_087,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_094,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_096,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_098,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_108,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_109,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_111,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_112,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_113,5,"[False, True, True, False]","[1, 2, 5]"
HG_BraTS20_Training_114,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_116,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_125,0,"[False, False, False, True]",[0]
HG_BraTS20_Training_127,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_129,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_130,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_132,14,"[True, True, True, True]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
HG_BraTS20_Training_139,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_141,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_142,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_149,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_151,8,"[True, False, False, True]","[0, 3, 8]"
HG_BraTS20_Training_154,12,"[True, True, False, True]","[0, 1, 3, 4, 8, 9, 12]"
HG_BraTS20_Training_157,3,"[True, False, False, False]",[3]
HG_BraTS20_Training_160,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_182,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_194,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_195,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_197,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_202,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_215,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_223,4,"[False, True, False, True]","[0, 1, 4]"
HG_BraTS20_Training_228,1,"[False, True, False, False]",[1]
HG_BraTS20_Training_253,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_337,2,"[False, False, True, False]",[2]
HG_BraTS20_Training_351,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_357,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_360,7,"[False, False, True, True]","[0, 2, 7]"
HG_BraTS20_Training_364,9,"[True, True, False, False]","[1, 3, 9]"
LG_BraTS20_Training_269,7,"[False, False, True, True]","[0, 2, 7]"
LG_BraTS20_Training_276,7,"[False, False, True, True]","[0, 2, 7]"
LG_BraTS20_Training_286,7,"[False, False, True, True]","[0, 2, 7]"
LG_BraTS20_Training_287,13,"[False, True, True, True]","[0, 1, 2, 4, 5, 7, 13]"
LG_BraTS20_Training_293,7,"[False, False, True, True]","[0, 2, 7]"
LG_BraTS20_Training_301,7,"[False, False, True, True]","[0, 2, 7]"
LG_BraTS20_Training_327,7,"[False, False, True, True]","[0, 2, 7]"
LG_BraTS20_Training_334,7,"[False, False, True, True]","[0, 2, 7]"
LG_BraTS20_Training_335,7,"[False, False, True, True]","[0, 2, 7]"
